file	verdict	code	stages	steps	detail
ishrivatsa_terraform-vault-jenkins.Jenkinsfile	ok	-	3	13	-
j8kin_habr-jenkinsfile.Jenkinsfile	not-declarative	-	-	-	-
jalogut_jenkinsfile-basic-sample.Jenkinsfile	not-declarative	-	-	-	-
jalogut_jenkinsfile-shared-library-sample.Jenkinsfile	not-declarative	-	-	-	-
jenkins-infra_jenkins.io.Jenkinsfile	not-declarative	-	-	-	-
jenkins-infra_pipeline-library.Jenkinsfile	ok	-	1	2	-
jenkins-infra_update-center2.Jenkinsfile	not-declarative	-	-	-	-
jenkins-zh_jenkins-cli.Jenkinsfile	ok	-	6	0	-
jenkinsci_JenkinsPipelineUnit.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_amazon-ecs-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_artifact-promotion-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_badge-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_bitbucket-push-and-pull-request-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_ci.jenkins.io-runner.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_code-coverage-api-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_config-driven-pipeline-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_configuration-as-code-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_credentials-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_declarative-pipeline-migration-assistant-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_dependency-track-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_dingtalk-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_docker-agents.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_docker-inbound-agent.Jenkinsfile	ok	-	1	0	-
jenkinsci_docker-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_docker-workflow-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_docker.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_gitea-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_github-branch-source-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_github-pr-comment-build-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_gitlab-branch-source-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_groovy-sandbox.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_hashicorp-vault-pipeline-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_hashicorp-vault-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_http-request-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_hubot-steps-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_jacoco-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_jenkins-test-harness.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_jenkins.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_jenkinsfile-runner-test-framework.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_jenkinsfile-runner.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_jira-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_jira-steps-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_jira-trigger-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_job-dsl-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_labelled-steps-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_multiple-scms-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_nested-data-reporting-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_opentelemetry-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_performance-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-as-yaml-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-aws-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-cloudwatch-logs-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-github-lib-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-githubnotify-step-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-gitstatuswrapper-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-graph-view-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-maven-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-model-definition-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-stage-view-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_pipeline-utility-steps-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_plot-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_plugin-installation-manager-tool.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_qy-wechat-notification-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_remote-file-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_remoting.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_role-strategy-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_simple-build-for-pipeline-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_ssh-steps-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_stashnotifier-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_subversion-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_swarm-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_tekton-client-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_warnings-ng-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_webhook-step-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_workflow-basic-steps-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_workflow-job-plugin.Jenkinsfile	not-declarative	-	-	-	-
jenkinsci_workflow-multibranch-plugin.Jenkinsfile	not-declarative	-	-	-	-
