file	verdict	code	stages	steps	detail
jussaragranja_SeleniumEasyTest2.Jenkinsfile	scripted-ok	-	1	8	-
juvalen_mb-checker.Jenkinsfile	ok	-	4	14	-
k11h-de_zap-jenkins.Jenkinsfile	ok	-	3	7	-
kenych_jenkins_config_as_code.Jenkinsfile	scripted-ok	-	1	4	-
kesselborn_jenkinsfile.Jenkinsfile	scripted-err	malformed_syntax	-	-	'true', 'try', 'while', '{', '||' or '}' @5:6
kishorebhatia_pipeline-as-code-demo.Jenkinsfile	scripted-err	malformed_syntax	-	-	, '?', '?.', '?:', '[', 'instanceof', '{', '||' or '}' @36:15
kitconcept_jenkins-pipeline-examples.Jenkinsfile	ok	-	4	7	-
krasi-georgiev_cd-demo.Jenkinsfile	scripted-ok	-	4	6	-
ksuther_jenkins-jenkinsfile-include.Jenkinsfile	scripted-ok	-	1	5	-
liatrio_pipeline-library.Jenkinsfile	ok	-	1	1	-
linuxacademy_cicd-pipeline-train-schedule-autodeploy.Jenkinsfile	ok	-	5	4	-
linuxacademy_cicd-pipeline-train-schedule-canary.Jenkinsfile	ok	-	4	3	-
linuxacademy_cicd-pipeline-train-schedule-cd.Jenkinsfile	ok	-	1	3	-
linuxacademy_cicd-pipeline-train-schedule-dockerdeploy.Jenkinsfile	ok	-	1	3	-
linuxacademy_cicd-pipeline-train-schedule-kubernetes.Jenkinsfile	ok	-	4	5	-
ljpengelen_jenkinsfile.Jenkinsfile	ok	-	5	14	-
llknur_jenkinsfile-pipeline-project.Jenkinsfile	ok	-	2	4	-
maajor_Blender-Geometry-CI.Jenkinsfile	err	no_stages	-	-	pipeline declares no stages @1:1
macg33zr_pipelineUnit.Jenkinsfile	ok	-	3	6	-
maxyermayank_jenkins-pipeline-demo-api.Jenkinsfile	ok	-	11	11	-
maxyermayank_jenkins-pipeline-demo-pwa.Jenkinsfile	ok	-	11	11	-
mercedes-benz_pipeliner.Jenkinsfile	scripted-ok	-	1	5	-
merken_netCoreBuild.Jenkinsfile	scripted-err	malformed_syntax	-	-	reserved @6:6
metersphere_jenkins-plugin.Jenkinsfile	err	malformed_syntax	-	-	'options', 'parameters', 'post', 'stages', 'tools', 'triggers' or '}' @44:26
microsoft_movie-db-java-on-azure.Jenkinsfile	scripted-err	malformed_syntax	-	-	'>=', '?', '?.', '?:', '[', 'instanceof', '{' or '||' @1:6
mindstix-labs_qa-automation-accelerator.Jenkinsfile	ok	-	5	9	-
mjah_kubernetes-jenkins-cicd-pipeline-example.Jenkinsfile	ok	-	7	13	-
mjuuso_provisioning_example.Jenkinsfile	scripted-err	malformed_syntax	-	-	'return', 'switch', 'throw', 'true', 'try', 'while' or '{' @1:1
mmelmesary_Automated-DevOps-Project.Jenkinsfile	ok	-	2	24	-
mraible_ng-demo.Jenkinsfile	scripted-err	malformed_syntax	-	-	'return', 'switch', 'throw', 'true', 'try', 'while', '{', '||' or '}' @1:6
msfidelis_jenkins-ecs-slaves.Jenkinsfile	ok	-	7	21	-
murphysecurity_murphysec-jenkins-tools.Jenkinsfile	ok	-	5	6	-
narasimhavuppala_jenkins-calculator.Jenkinsfile	ok	-	7	7	-
narottamgla_selenium-bdd-cucumber.Jenkinsfile	ok	-	5	9	-
